Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
25,22,Male,Graduate,Greece,3.2,Facebook,No,6.9,7,In Relationship,2,5
156,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8
211,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8
261,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9
425,19,Female,Undergraduate,Switzerland,2.9,Instagram,No,8.9,8,Single,2,4
540,22,Male,Graduate,Canada,4.5,TikTok,Yes,7.7,7,Single,3,6
111,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8
83,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6
52,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7
406,21,Male,Graduate,Turkey,4.7,Instagram,Yes,7.5,6,Single,3,7
639,23,Female,Graduate,Spain,6.4,Facebook,Yes,6.2,5,Single,4,8
591,19,Female,Undergraduate,India,7.0,Instagram,Yes,5.8,4,Single,5,9
632,21,Male,Undergraduate,UK,6.2,Facebook,Yes,6.3,5,Single,4,8
655,21,Female,Undergraduate,Finland,4.4,Instagram,No,7.4,7,In Relationship,2,5
531,20,Female,Undergraduate,Brazil,5.9,TikTok,Yes,6.6,6,Single,3,7
337,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.4,5,In Relationship,4,9
19,21,Male,Undergraduate,Denmark,3.5,Facebook,No,6.7,7,Single,1,5
645,23,Female,Graduate,USA,5.3,Twitter,Yes,6.8,6,In Relationship,3,7
487,20,Female,Undergraduate,USA,8.4,TikTok,Yes,3.9,5,In Relationship,4,9
440,22,Male,Graduate,Canada,4.2,TikTok,Yes,8.0,6,Single,3,7
577,20,Female,Undergraduate,USA,5.9,Instagram,Yes,6.7,6,In Relationship,3,7
62,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8
624,19,Male,Undergraduate,Ireland,5.8,Instagram,Yes,6.6,6,Single,3,7
537,19,Female,Undergraduate,UAE,6.8,Instagram,Yes,6.2,5,In Relationship,4,8
30,19,Female,High School,Thailand,5.9,Instagram,Yes,5.3,5,Complicated,4,8
376,22,Male,Graduate,Turkey,5.0,TikTok,Yes,7.2,6,Single,3,7
224,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4
486,21,Male,Graduate,Turkey,3.9,Instagram,Yes,8.3,6,Single,3,7
339,20,Female,Undergraduate,France,4.4,Instagram,No,7.6,7,In Relationship,2,5
447,20,Female,Undergraduate,USA,8.0,TikTok,Yes,4.3,5,In Relationship,4,9
205,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8
378,21,Male,Graduate,Mexico,6.1,WhatsApp,Yes,6.1,6,Single,3,7
498,21,Male,Graduate,Mexico,7.3,WhatsApp,Yes,4.9,6,Single,3,7
245,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9
240,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4
336,22,Male,Graduate,Turkey,5.4,TikTok,Yes,6.8,6,Single,3,7
372,22,Male,Graduate,Denmark,3.5,Facebook,No,8.3,8,In Relationship,2,4
177,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5
400,22,Male,Graduate,Canada,4.6,TikTok,Yes,7.6,6,Single,3,7
216,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6
569,19,Female,Undergraduate,India,7.4,WhatsApp,Yes,5.4,5,In Relationship,4,8
266,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8
688,22,Male,Graduate,Poland,6.3,TikTok,Yes,6.2,5,Single,4,8
164,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7
519,20,Female,Undergraduate,India,6.9,WhatsApp,Yes,5.9,5,In Relationship,4,8
619,24,Female,Graduate,Japan,4.2,Twitter,No,7.5,8,Single,2,4
448,22,Male,Graduate,Mexico,6.8,WhatsApp,Yes,5.4,6,Single,3,7
355,20,Female,Undergraduate,Switzerland,3.6,Instagram,No,8.2,8,Single,2,4
285,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,Single,4,9
418,21,Male,Graduate,Mexico,6.5,WhatsApp,Yes,5.7,6,Single,3,7
105,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7.0,7,Complicated,2,5
115,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7
634,20,Male,Undergraduate,Russia,6.9,Instagram,Yes,5.9,4,Single,5,9
542,21,Male,Graduate,China,4.1,WeChat,No,8.2,7,In Relationship,2,5
300,22,Male,Graduate,Russia,3.9,VKontakte,No,8.1,7,In Relationship,2,5
93,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6
8,20,Female,Undergraduate,Brazil,5.8,Snapchat,Yes,6.0,6,In Relationship,2,8
90,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9
535,20,Female,Undergraduate,Singapore,5.4,TikTok,Yes,6.7,6,Single,3,7
640,20,Male,Undergraduate,Denmark,4.5,Twitter,No,7.3,7,In Relationship,2,5
528,22,Male,Graduate,Poland,4.0,Facebook,No,8.1,7,Single,2,5
383,20,Female,Undergraduate,Ireland,4.3,TikTok,Yes,7.6,7,Single,3,6
382,21,Male,Graduate,Denmark,3.4,Facebook,No,8.4,8,In Relationship,2,4
516,22,Male,Graduate,Malaysia,5.6,WhatsApp,Yes,6.7,6,Single,3,7
141,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8
29,24,Male,Graduate,Malaysia,2.2,LinkedIn,No,7.4,8,Single,0,3
44,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
43,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5
74,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8
168,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6
559,20,Female,Undergraduate,India,7.3,WhatsApp,Yes,5.5,5,In Relationship,4,8
617,22,Female,Graduate,Russia,6.8,Instagram,Yes,5.9,4,Single,5,9
67,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6
12,20,Female,Undergraduate,Spain,5.5,TikTok,Yes,5.8,6,In Relationship,2,8
368,22,Male,Graduate,Mexico,6.0,WhatsApp,Yes,6.2,6,Single,3,7
594,24,Male,Graduate,USA,5.6,Instagram,Yes,6.9,6,In Relationship,3,7
179,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7
660,23,Male,Graduate,Switzerland,4.5,Facebook,No,7.3,7,In Relationship,2,5
395,20,Female,Undergraduate,Switzerland,3.2,Instagram,No,8.6,8,Single,2,4
483,20,Female,Undergraduate,Ireland,3.3,TikTok,Yes,8.6,7,Single,3,6
347,20,Female,Undergraduate,USA,7.0,TikTok,Yes,5.3,5,In Relationship,4,9
430,21,Male,Graduate,Canada,4.3,Instagram,Yes,7.9,6,Single,3,7
178,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8
466,21,Male,Graduate,Turkey,4.1,Instagram,Yes,8.1,6,Single,3,7
454,21,Male,Graduate,India,7.1,WhatsApp,Yes,5.2,5,In Relationship,4,8
84,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4
219,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5
463,20,Female,Undergraduate,Ireland,3.5,TikTok,Yes,8.4,7,Single,3,6
364,22,Male,Graduate,India,6.2,WhatsApp,Yes,6.1,5,In Relationship,4,8
265,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1,3
470,21,Male,Graduate,Canada,3.9,Instagram,Yes,8.3,6,Single,3,7
80,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9
24,20,Female,Undergraduate,Portugal,5.7,TikTok,Yes,5.4,5,Single,4,8
16,20,Female,Undergraduate,China,4.2,TikTok,Yes,6.0,6,Complicated,3,7
391,20,Female,Undergraduate,Spain,4.5,TikTok,Yes,7.4,6,Single,3,7
276,22,Male,Graduate,Russia,4.2,VKontakte,No,7.8,7,Single,2,5
248,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4
704,24,Male,Graduate,Japan,4.3,Twitter,No,7.5,8,Single,2,4
362,21,Male,Graduate,Denmark,3.6,Facebook,No,8.2,8,In Relationship,2,4
358,21,Male,Graduate,Mexico,5.9,WhatsApp,Yes,6.3,6,Single,3,7
627,23,Female,Graduate,Turkey,6.7,Instagram,Yes,6.1,5,Single,4,8
138,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8
361,19,Female,Undergraduate,Spain,4.8,Instagram,Yes,7.1,6,Single,3,7
315,20,Female,Undergraduate,South Korea,4.2,KakaoTalk,Yes,7.6,6,Single,3,6
34,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4
257,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3
431,20,Female,Undergraduate,Spain,4.1,TikTok,Yes,7.8,6,Single,3,7
474,21,Male,Graduate,India,7.3,WhatsApp,Yes,5.0,5,In Relationship,4,8
10,21,Female,Graduate,South Korea,3.3,Instagram,No,7.0,7,In Relationship,1,4
250,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8
23,19,Male,Undergraduate,Austria,4.9,Instagram,Yes,5.8,6,Complicated,3,7
311,20,Female,Undergraduate,Australia,4.0,Facebook,No,7.8,7,In Relationship,2,5
222,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7
573,19,Female,Undergraduate,Ireland,5.5,TikTok,Yes,6.8,6,Single,4,8
684,23,Male,Graduate,Italy,4.8,Facebook,No,7.1,7,In Relationship,2,5
691,21,Female,Undergraduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
699,19,Female,Undergraduate,Canada,5.7,Instagram,Yes,6.6,6,Single,3,7
589,20,Female,Undergraduate,Denmark,4.4,Instagram,No,7.4,7,In Relationship,2,5
204,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6
409,19,Female,Undergraduate,France,3.7,Instagram,No,8.3,7,In Relationship,2,5
94,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8
550,21,Male,Graduate,Canada,4.4,Instagram,Yes,7.8,7,Single,3,6
293,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,In Relationship,4,9
469,19,Female,Undergraduate,France,3.1,Instagram,No,8.9,7,In Relationship,2,5
185,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7.0,5,Single,3,7
568,22,Male,Graduate,Poland,3.6,Facebook,No,8.5,7,Single,2,5
301,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,Single,4,9
154,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7
76,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7
353,19,Female,Undergraduate,Ireland,4.6,Instagram,Yes,7.3,7,Single,3,6
69,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4
389,19,Female,Undergraduate,France,3.9,Instagram,No,8.1,7,In Relationship,2,5
189,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5
272,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1,4
237,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9
89,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6.0,6,Complicated,3,7
597,23,Female,Graduate,Canada,4.9,TikTok,No,7.3,7,In Relationship,2,5
118,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7
126,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8
578,22,Male,Graduate,Mexico,6.5,Facebook,Yes,6.1,5,Single,4,8
239,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5
1,19,Female,Undergraduate,Bangladesh,5.2,Instagram,Yes,6.5,6,In Relationship,3,8
698,24,Male,Graduate,France,4.8,Facebook,No,7.1,7,In Relationship,2,5
291,20,Female,Undergraduate,South Korea,4.5,KakaoTalk,Yes,7.3,6,In Relationship,3,6
488,22,Male,Graduate,Mexico,7.2,WhatsApp,Yes,5.0,6,Single,3,7
351,20,Female,Undergraduate,Spain,4.9,TikTok,Yes,7.0,6,Single,3,7
279,20,Female,Undergraduate,Australia,4.4,Facebook,No,7.4,7,In Relationship,2,5
117,21,Male,Graduate,Bangladesh,6.0,Facebook,Yes,5.8,5,In Relationship,4,8
229,19,Female,Undergraduate,USA,7.0,TikTok,Yes,5.8,4,In Relationship,4,9
394,21,Male,Graduate,India,6.5,WhatsApp,Yes,5.8,5,In Relationship,4,8
329,19,Female,Undergraduate,France,4.5,Instagram,No,7.5,7,In Relationship,2,5
275,20,Female,Undergraduate,South Korea,4.7,KakaoTalk,Yes,7.1,6,In Relationship,3,6
452,22,Male,Graduate,Denmark,2.7,Facebook,No,9.1,8,In Relationship,2,4
145,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7
607,24,Female,Graduate,Ireland,5.9,Twitter,Yes,6.6,6,Single,3,7
446,21,Male,Graduate,Turkey,4.3,Instagram,Yes,7.9,6,Single,3,7
638,21,Male,Undergraduate,Finland,4.3,Instagram,No,7.5,7,In Relationship,2,5
513,19,Female,Undergraduate,Netherlands,3.7,TikTok,No,8.3,8,Single,2,4
269,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,Single,4,9
674,24,Male,Graduate,Denmark,4.5,Twitter,No,7.3,7,In Relationship,2,5
47,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7
262,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3,7
196,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8
705,19,Female,Undergraduate,Poland,6.2,Facebook,Yes,6.3,5,Single,4,8
590,22,Male,Graduate,Ireland,5.7,Twitter,Yes,6.8,6,Single,3,7
108,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8
545,19,Female,Undergraduate,Singapore,5.5,TikTok,Yes,6.6,6,Single,3,7
527,20,Female,Undergraduate,UAE,6.7,Instagram,Yes,6.3,5,In Relationship,4,8
332,22,Male,Graduate,Denmark,3.9,Facebook,No,7.9,8,In Relationship,2,4
101,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9
495,20,Female,Undergraduate,Switzerland,2.2,Instagram,No,9.6,8,Single,2,4
631,24,Female,Graduate,Canada,5.6,TikTok,Yes,6.7,6,Single,3,7
343,20,Female,Undergraduate,Ireland,4.7,TikTok,Yes,7.2,7,Single,3,6
180,22,Male,Graduate,India,5.0,Facebook,No,7.6,7,In Relationship,2,6
305,19,Female,Undergraduate,Japan,2.8,LINE,No,8.8,8,Single,1,3
552,22,Male,Graduate,China,4.0,WeChat,No,8.3,7,In Relationship,2,5
678,23,Male,Graduate,Turkey,6.8,Instagram,Yes,6.0,5,Single,4,8
150,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8
125,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5
558,21,Male,Graduate,Poland,3.7,Facebook,No,8.4,7,Single,2,5
612,19,Male,Undergraduate,Mexico,6.5,Facebook,Yes,6.1,5,Single,4,8
186,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6
438,21,Male,Graduate,Mexico,6.7,WhatsApp,Yes,5.5,6,Single,3,7
421,19,Female,Undergraduate,Spain,4.2,Instagram,Yes,7.7,6,Single,3,7
696,23,Male,Graduate,USA,5.5,Twitter,Yes,6.7,6,In Relationship,3,7
354,21,Male,Graduate,India,6.1,WhatsApp,Yes,6.2,5,In Relationship,4,8
322,21,Male,Graduate,Denmark,4.1,Facebook,No,7.8,8,In Relationship,2,4
651,19,Female,Undergraduate,Russia,6.8,Instagram,Yes,5.9,4,Single,5,9
143,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5
142,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7
588,24,Male,Graduate,Spain,6.6,TikTok,Yes,6.2,5,Single,4,8
321,19,Female,Undergraduate,Spain,5.2,Instagram,Yes,6.8,6,Single,3,7
20,20,Female,Undergraduate,Netherlands,4.7,Snapchat,Yes,5.9,6,Complicated,3,7
173,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7
572,23,Male,Graduate,Denmark,3.8,Twitter,No,7.8,8,In Relationship,2,4
313,19,Female,Undergraduate,Japan,2.7,LINE,No,8.9,8,Single,1,3
657,19,Female,Undergraduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
13,22,Male,Graduate,Italy,2.8,LinkedIn,No,7.2,8,Single,1,4
306,21,Male,Graduate,Italy,5.0,Instagram,Yes,7.1,5,Single,3,7
26,19,Female,High School,Ireland,6.1,Instagram,Yes,5.2,5,Complicated,4,9
571,20,Female,Undergraduate,Spain,6.1,Instagram,Yes,7.2,5,Single,4,7
170,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7
491,20,Female,Undergraduate,Spain,3.5,TikTok,Yes,8.4,6,Single,3,7
413,19,Female,Undergraduate,Ireland,4.0,Instagram,Yes,7.9,7,Single,3,6
246,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7
299,20,Female,Undergraduate,South Korea,4.4,KakaoTalk,Yes,7.4,6,Single,3,6
444,22,Male,Graduate,India,7.0,WhatsApp,Yes,5.3,5,In Relationship,4,8
273,19,Female,Undergraduate,Japan,3.2,LINE,No,8.4,8,Single,1,3
155,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5
127,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7
482,21,Male,Graduate,Denmark,2.4,Facebook,No,9.4,8,In Relationship,2,4
342,21,Male,Graduate,Denmark,3.8,Facebook,No,8.0,8,In Relationship,2,4
288,22,Male,Graduate,Germany,3.5,Facebook,No,8.0,8,In Relationship,1,4
114,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6.0,5,Single,4,8
555,20,Female,Undergraduate,Singapore,5.6,TikTok,Yes,6.5,6,Single,3,7
174,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6
405,19,Female,Undergraduate,Switzerland,3.1,Instagram,No,8.7,8,Single,2,4
58,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7.0,8,In Relationship,1,4
465,19,Female,Undergraduate,Switzerland,2.5,Instagram,No,9.3,8,Single,2,4
223,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5
281,19,Female,Undergraduate,Japan,3.1,LINE,No,8.5,8,Single,1,3
18,19,Female,High School,Norway,5.0,Instagram,Yes,5.7,5,In Relationship,3,8
481,19,Female,Undergraduate,Spain,3.6,Instagram,Yes,8.3,6,Single,3,7
323,20,Female,Undergraduate,Ireland,5.0,Instagram,Yes,7.0,7,Single,3,6
256,22,Male,Graduate,Germany,4.0,Facebook,No,7.6,8,In Relationship,2,4
427,20,Female,Undergraduate,USA,7.8,TikTok,Yes,4.5,5,In Relationship,4,9
676,22,Male,Graduate,India,7.2,Facebook,Yes,5.7,4,Single,5,9
191,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7
449,19,Female,Undergraduate,France,3.3,Instagram,No,8.7,7,In Relationship,2,5
623,22,Female,Graduate,Denmark,4.6,Twitter,No,7.3,7,In Relationship,2,5
622,20,Male,Undergraduate,Spain,6.5,Facebook,Yes,6.2,5,Single,4,8
95,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4
181,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8
302,21,Male,Graduate,UK,4.8,Facebook,Yes,6.8,6,In Relationship,3,7
437,19,Female,Undergraduate,USA,7.9,Instagram,Yes,4.4,5,In Relationship,4,9
518,21,Male,Graduate,Poland,4.1,Facebook,No,8.0,7,Single,2,5
539,20,Female,Undergraduate,India,7.1,WhatsApp,Yes,5.7,5,In Relationship,4,8
582,24,Male,Graduate,Italy,4.9,Facebook,No,7.3,7,In Relationship,2,5
524,22,Male,Graduate,New Zealand,4.5,Facebook,Yes,7.7,7,In Relationship,3,6
6,19,Female,Undergraduate,Australia,7.2,Instagram,Yes,4.5,4,Complicated,5,9
692,24,Male,Graduate,Ireland,5.9,Instagram,Yes,6.5,6,Single,3,7
46,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4
450,21,Male,Graduate,Canada,4.1,Instagram,Yes,8.1,6,Single,3,7
532,22,Male,Graduate,China,4.2,WeChat,No,8.1,7,In Relationship,2,5
172,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8
17,24,Male,Graduate,Sweden,2.0,LinkedIn,No,7.8,8,Single,0,3
49,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5
682,22,Male,Graduate,Canada,5.8,TikTok,Yes,6.6,6,Single,3,7
646,22,Male,Graduate,Mexico,6.3,Facebook,Yes,6.2,5,Single,4,8
4,18,Male,High School,UK,3.0,YouTube,No,7.0,7,Single,1,4
694,22,Male,Graduate,Switzerland,4.5,Facebook,No,7.3,7,In Relationship,2,5
445,19,Female,Undergraduate,Switzerland,2.7,Instagram,No,9.1,8,Single,2,4
317,19,Female,Undergraduate,USA,7.1,Instagram,Yes,5.0,4,Single,4,9
650,24,Male,Graduate,Italy,4.7,Facebook,No,7.2,7,In Relationship,2,5
284,22,Male,Graduate,Russia,4.1,VKontakte,No,7.9,7,In Relationship,2,5
97,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8
286,21,Male,Graduate,UK,5.0,Facebook,Yes,6.6,6,In Relationship,3,7
423,20,Female,Undergraduate,Ireland,3.9,TikTok,Yes,8.0,7,Single,3,6
226,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7
27,21,Male,Undergraduate,New Zealand,3.8,YouTube,No,6.6,7,Single,1,5
583,20,Female,Undergraduate,Russia,6.7,Instagram,Yes,6.0,5,Single,4,8
264,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1,4
51,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6
365,19,Female,Undergraduate,Switzerland,3.5,Instagram,No,8.3,8,Single,2,4
230,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7
38,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9
158,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5
238,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7
677,20,Female,Undergraduate,Switzerland,4.6,TikTok,No,7.2,7,In Relationship,2,5
375,20,Female,Undergraduate,Switzerland,3.4,Instagram,No,8.4,8,Single,2,4
371,20,Female,Undergraduate,Spain,4.7,TikTok,Yes,7.2,6,Single,3,7
176,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7
598,20,Male,Undergraduate,UK,6.4,Facebook,Yes,6.2,5,Single,4,8
685,21,Female,Undergraduate,Russia,6.7,Instagram,Yes,6.0,4,Single,5,9
520,22,Male,Graduate,Canada,4.7,TikTok,Yes,7.5,7,Single,3,6
195,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5
600,19,Male,Undergraduate,Russia,6.7,Instagram,Yes,6.0,4,Single,4,8
608,21,Male,Undergraduate,India,7.1,Facebook,Yes,5.7,4,Single,5,9
435,20,Female,Undergraduate,Switzerland,2.8,Instagram,No,9.0,8,Single,2,4
649,21,Female,Undergraduate,UK,6.2,Twitter,Yes,6.3,5,Single,4,8
458,21,Male,Graduate,Mexico,6.9,WhatsApp,Yes,5.3,6,Single,3,7
